AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2020,Febrero,Japón,Metropolitana,0.052,Metropolitana,Aéreo,Aerop. A. Merino Benítez,5.0,0.09615384615384616
2020,Febrero,Japón,Metropolitana,0.701,Metropolitana,Aéreo,Aerop. A. Merino Benítez,7326.5,10.451497860199716
2020,Febrero,Rusia,Metropolitana,1.398,Metropolitana,Aéreo,Aerop. A. Merino Benítez,13625.01,9.746072961373391
2020,Febrero,Rusia,Metropolitana,1.462,Metropolitana,Aéreo,Aerop. A. Merino Benítez,14162.08,9.686785225718195
2020,Febrero,Rusia,Metropolitana,1.978,Metropolitana,Aéreo,Aerop. A. Merino Benítez,19601.9,9.909959555106168
2020,Febrero,Rusia,Metropolitana,2.128,Metropolitana,Aéreo,Aerop. A. Merino Benítez,24274.84,11.40734962406015
2020,Febrero,Rusia,Metropolitana,2.054,Metropolitana,Aéreo,Aerop. A. Merino Benítez,28731.7,13.9881694255112
2020,Febrero,Rusia,Metropolitana,10.744,Metropolitana,Aéreo,Aerop. A. Merino Benítez,119040.25,11.079695644080417
2020,Febrero,Rusia,Metropolitana,1.492,Metropolitana,Aéreo,Aerop. A. Merino Benítez,14067.56,9.428659517426272
2020,Febrero,Tailandia,Metropolitana,0.698,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8081.28,11.577765042979943
2020,Febrero,Tailandia,Metropolitana,0.696,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8558.0,12.295977011494253
2020,Febrero,Tailandia,Metropolitana,1.32,Metropolitana,Aéreo,Aerop. A. Merino Benítez,11853.32,8.979787878787878
2020,Febrero,Tailandia,Metropolitana,1.48,Metropolitana,Aéreo,Aerop. A. Merino Benítez,12876.4,8.70027027027027
2020,Febrero,Tailandia,Metropolitana,3.512,Metropolitana,Aéreo,Aerop. A. Merino Benítez,36038.4,10.261503416856492
